Class,Assertion roulette,Conditional test logic,Constructor initialization,Eager test,Empty test,Exception handling,Ignored tests,Unknown test,Total
apache_storm.org.apache.storm.rocketmq.spout.RocketMqSpout,0,0,0,0,0,0,0,2,2
apache_storm.org.apache.storm.rocketmq.spout.scheme.StringScheme,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.rocketmq.spout.scheme.StringKeyValueScheme,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.cassandra.trident.state.MapStateFactoryBuilder,0,0,0,0,0,0,0,3,3
apache_storm.org.apache.storm.container.oci.OciUtils,1,0,0,0,0,0,0,2,3
apache_storm.org.apache.storm.hbase.state.HBaseKeyValueStateProvider,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.hbase.state.HBaseKeyValueState,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.eventhubs.spout.MessageId,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.eventhubs.spout.EventHubSpoutConfig,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.eventhubs.trident.TransactionalTridentEventHubEmitter,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.metricstore.MetricStore,3,0,0,3,0,0,0,0,6
apache_storm.org.apache.storm.metricstore.rocksdb.RocksDbValue,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.metricstore.rocksdb.StringMetadataCache,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.metricstore.rocksdb.RocksDbKey,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.scheduler.resource.RasNodes,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.scheduler.IScheduler,24,1,0,24,0,0,0,0,49
apache_storm.org.apache.storm.topology.ResourceDeclarer,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.scheduler.TopologyDetails,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.scheduler.SupervisorDetails,4,0,0,4,0,0,0,0,8
apache_storm.org.apache.storm.scheduler.resource.normalization.NormalizedResourceOffer,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.scheduler.resource.normalization.NormalizedResources,3,0,0,2,0,0,0,0,5
apache_storm.org.apache.storm.scheduler.resource.normalization.NormalizedResourceRequest,2,0,0,0,0,0,0,0,2
apache_storm.org.apache.storm.scheduler.resource.normalization.ResourceMapArrayBridge,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.scheduler.utils.FileConfigLoader,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.scheduler.utils.ArtifactoryConfigLoader,3,0,0,1,0,0,0,0,4
apache_storm.org.apache.storm.container.docker.DockerCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerPsCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerStopCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerRunCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerWaitCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerExecCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerRmCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.container.docker.DockerInspectCommand,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.daemon.nimbus.Nimbus,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.localizer.AsyncLocalizer,7,0,0,7,0,0,0,1,15
apache_storm.org.apache.storm.testing.TmpPath,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.localizer.LocallyCachedBlob,3,0,0,3,0,0,0,0,6
apache_storm.org.apache.storm.localizer.LocalizedResourceRetentionSet,2,0,0,2,0,0,0,0,4
apache_storm.org.apache.storm.flux.parser.FluxParser,12,0,0,12,0,0,0,0,24
apache_storm.org.apache.storm.flux.FluxBuilder,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.flux.Flux,0,0,0,0,0,0,0,1,1
apache_storm.org.apache.storm.ExclamationTopology,1,0,0,0,0,0,0,0,1
apache_storm.org.apache.storm.sql.runtime.serde.tsv.TsvSerializer,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.sql.runtime.serde.avro.AvroSerializer,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.sql.runtime.serde.json.JsonScheme,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.sql.runtime.serde.json.JsonSerializer,0,0,0,0,0,0,0,0,0
apache_storm.org.apache.storm.sql.runtime.serde.csv.CsvSerializer,1,0,0,1,0,0,0,0,2
apache_storm.org.apache.storm.sql.StormSqlLocalClusterImpl,6,0,0,6,0,0,0,0,12
