Repo,TotalTestabilitySmells,TestabilitySmellsDensity,TotalTests,TestDensity
federicoiosue_Omni-Notes,90,10.51,120,14.02
naver_ngrinder,127,3.26,223,5.72
SnippingToolPlusPlus_SnippingToolPlusPlus,91,11.15,12,1.47
rpau_walkmod-core,285,18.28,139,8.91
schema-repo_schema-repo,74,14.42,35,6.82
davityle_ngAndroid,97,16.89,25,4.35
Kixeye_janus,14,3.56,47,11.95
SurveyMan_SurveyMan,187,21.93,58,6.80
pivotalsoftware_pivotal-samples,4,10.20,6,15.31
peholmst_vaadin4spring,5,3.20,33,21.10
neo4j-contrib_graph-collections,186,14.90,53,4.25
jvirtanen_nassau,48,16.57,37,12.77
benjiman_expressions,11,2.51,88,20.04
Netflix_Prana,5,5.45,7,7.63
saulmm_Material-Movies,29,15.22,5,2.62
lesaint_damapping,205,18.56,269,24.35
hazelcast_hazelcast-simulator,86,2.94,540,18.45
manuzhang_storm-benchmark,231,71.21,53,16.34
rmagen_elastic-gremlin,16,7.24,6,2.71
lilicoding_soot-infoflow-android-iccta,59,10.77,8,1.46
mayconbordin_streaminer,75,2.78,172,6.37
thechunknetwork_RedisBungee,12,6.01,3,1.50
cloudera_cm_ext,66,5.67,269,23.12
timolson_cointrader,2063,79.78,17,0.66
DawnFire-Realms_CommunityBridge,15,1.97,337,44.36
Linfar_TeamCity.SonarQubePlugin,71,16.64,29,6.80
conveyal_gtfs-data-manager,17,5.40,3,0.95
codecentric_spring-boot-starter-batch-web,14,3.98,37,10.51
teamed_requs,154,44.04,38,10.87
tarql_tarql,83,32.03,105,40.52
TomasMikula_ReactFX,19,1.41,103,7.67
larsgrefer_android-library,11,3.21,5,1.46
sogyf_mybatis-pagination,14,4.51,8,2.58
fge_throwing-lambdas,4,0.63,61,9.64
lenskit_lenskit,121,2.67,712,15.71
MALfunction84_psi-probe,59,2.12,280,10.08
OpenHFT_Chronicle-Map,700,20.06,235,6.74
SignalR_java-client,25,4.06,37,6.00
edgedalmacio_phisix,41,30.15,30,22.06
Azure_azure-documentdb-java,8,3.09,33,12.74
xerial_sqlite-jdbc,143,9.88,319,22.05
totalvoidness_cryptomator,57,4.14,50,3.63
HotelsDotCom_plunger,5,1.38,126,34.80
windy1_google-places-api-java,28,10.15,2,0.73
spring-cloud_spring-cloud-consul,59,8.37,180,25.52
apache_incubator-tamaya,356,22.35,660,41.43
SonarSource_sonar-findbugs,79,20.66,93,24.33
PhantomYdn_wicket-orientdb,231,25.88,99,11.09
OryxProject_oryx,160,10.41,381,24.79
ontometrics_slack-youtrack,26,9.18,23,8.12
unchartedsoftware_aperture-tiles,177,6.63,272,10.19
Universal-Electricity_ICBM,333,9.60,19,0.55
Roanis_atg-tdd,51,30.41,41,24.45
snakerflow_snakerflow,71,5.95,40,3.35
stealthly_xml-avro,4,5.89,21,30.93
novoda_sqlite-provider,44,11.20,42,10.70
vladimirvivien_clamshell-cli,28,10.38,33,12.23
