Repo,TotalTestabilitySmells,TotalTestSmells,LOC,NoOfTests,TyS_normalized, TS_normalized
NLPchina_nlp-lang.org.nlpcn.commons.lang.finger.FingerprintService,1,0,41,1,24.390243902439025,0.0
NLPchina_nlp-lang.org.nlpcn.commons.lang.dat.DATMaker,1,1,262,1,3.816793893129771,1.0
prometheus_jmx_exporter.io.prometheus.jmx.JmxCollector,2,1,499,5,4.008016032064128,0.2
graphaware_neo4j-reco.com.graphaware.reco.neo4j.module.RecommendationModuleConfiguration,1,1,75,1,13.333333333333334,1.0
SahaginOrg_sahagin-java.org.sahagin.share.TestDocResolver,9,4,295,2,30.508474576271187,2.0
SahaginOrg_sahagin-java.org.sahagin.share.runresults.RootMethodRunResult,2,0,73,1,27.397260273972602,0.0
SahaginOrg_sahagin-java.org.sahagin.share.srctree.SrcTree,4,0,296,1,13.513513513513514,0.0
wildfly-security_wildfly-elytron.org.wildfly.security.http.HttpAuthenticator,2,6,451,6,4.434589800443459,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.http.oidc.OidcClientConfigurationBuilder,2,2,145,1,13.793103448275861,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.http.oidc.OidcSecurityRealm,2,8,74,8,27.027027027027028,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.keystore.AtomicLoadKeyStore,1,3,99,2,10.1010101010101,1.5
wildfly-security_wildfly-elytron.org.wildfly.security.keystore.AliasFilter,2,9,0,9,0,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.manager.WildFlySecurityManager,1,1,1427,1,0.700770847932726,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.authz.jacc.ElytronPolicyConfigurationFactory,1,4,69,2,14.492753623188406,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.authz.RoleMapper,4,6,89,3,44.943820224719104,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.authz.RoleDecoder,1,2,56,2,17.857142857142858,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.auth.server.RealmIdentity,1,7,230,6,4.3478260869565215,1.1666666666666667
wildfly-security_wildfly-elytron.org.wildfly.security.auth.server.SecurityIdentity,3,6,755,3,3.9735099337748343,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.auth.server.IdentityCredentials,1,1,720,1,1.3888888888888888,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.auth.server.SecurityDomain,10,55,951,32,10.515247108307046,1.71875
wildfly-security_wildfly-elytron.org.wildfly.security.ssl.CipherSuiteSelector,3,52,0,31,0,1.6774193548387097
wildfly-security_wildfly-elytron.org.wildfly.security.ssl.MechanismDatabase,1,2,303,3,3.3003300330033003,0.6666666666666666
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.jdbc.JdbcSecurityRealmBuilder,1,2,55,2,18.181818181818183,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.jdbc.mapper.PasswordKeyMapper,1,19,0,12,0,1.5833333333333333
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.FileSystemSecurityRealm,2,25,1442,22,1.3869625520110958,1.1363636363636365
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.LegacyPropertiesSecurityRealm,1,6,426,5,2.347417840375587,1.2
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.ldap.LdapSecurityRealmBuilder,1,15,373,8,2.680965147453083,1.875
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.ldap.UserPasswordPasswordUtil,1,48,0,24,0,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.ldap.AttributeMapping,3,19,195,19,15.384615384615385,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.auth.realm.token.TokenSecurityRealm,1,22,195,14,5.128205128205129,1.5714285714285714
wildfly-security_wildfly-elytron.org.wildfly.security.auth.client.AuthenticationConfiguration,18,4,1549,5,11.620400258231117,0.8
wildfly-security_wildfly-elytron.org.wildfly.security.auth.client.AuthenticationContext,2,44,272,29,7.352941176470588,1.5172413793103448
wildfly-security_wildfly-elytron.org.wildfly.security.auth.client.ElytronXmlParser,2,36,0,26,0,1.3846153846153846
wildfly-security_wildfly-elytron.org.wildfly.security.auth.client.MatchRule,7,7,414,6,16.908212560386474,1.1666666666666667
wildfly-security_wildfly-elytron.org.wildfly.security.tool.Command,3,6,203,3,14.77832512315271,2.0
wildfly-security_wildfly-elytron.org.wildfly.security.tool.ElytronTool,2,8,118,2,16.949152542372882,4.0
wildfly-security_wildfly-elytron.org.wildfly.security.tool.CredentialStoreCommand,46,1,0,1,0,1.0
wildfly-security_wildfly-elytron.org.wildfly.security.util.PasswordBasedEncryptionUtil,1,2,515,1,1.941747572815534,2.0
