Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
xp,com.enonic.wem.core.schema.content,GetAllContentTypesCommandTest,handle_given_mixin,Long Statement,The length of the statement "final ContentType contentType=ContentType.newContentType().name(contentTypeName).displayName("displayName").description("description").form(form).build();" is 154.,77
xp,com.enonic.wem.core.schema.content,GetAllContentTypesCommandTest,createRootDataSetWithForm,Long Identifier,The length of the field SERIALIZER_FOR_FORM_ITEM_TO_DATA is 32.,117
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,setUp,Long Statement,The length of the statement "command=new UpdateContentTypeCommand().contentTypeDao(this.contentTypeDao).mixinService(this.mixinService).contentTypeService(this.contentTypeService).eventPublisher(this.eventPublisher);" is 187.,41
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,updateContentType,Long Statement,The length of the statement "Mockito.when(contentTypeService.getByNames(Mockito.isA(GetContentTypesParams.class))).thenReturn(ContentTypes.from(STRUCTURED));" is 128.,57
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,updateContentType,Long Statement,The length of the statement "final ContentType.Builder ctb1=ContentType.newContentType().displayName(displayName1).name(contentType1Name).setBuiltIn().description(description1);" is 148.,57
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,updateContentType,Long Statement,The length of the statement "final ContentType.Builder ctb2=ContentType.newContentType().displayName(displayName2).name(contentType2Name).description(description2);" is 135.,57
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,updateContentType,Long Statement,The length of the statement "final ContentTypeEditor editor=newSetContentTypeEditor().displayName("Changed").setAbstract(false).superType(ContentTypeName.structured()).build();" is 147.,57
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,given_superType_that_is_final_when_handle_then_InvalidContentTypeException,Long Statement,The length of the statement "Mockito.when(contentTypeService.getByNames(Mockito.isA(GetContentTypesParams.class))).thenReturn(ContentTypes.from(STRUCTURED));" is 128.,113
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,given_superType_that_is_final_when_handle_then_InvalidContentTypeException,Long Statement,The length of the statement "ContentType existingContentType=newContentType().name("mymodule-1.0.0:my_content_type").displayName("My content type").setAbstract(false).setFinal(true).superType(ContentTypeName.structured()).build();" is 201.,113
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,given_superType_that_is_final_when_handle_then_InvalidContentTypeException,Long Statement,The length of the statement "final UpdateContentTypeParams params=new UpdateContentTypeParams().contentTypeName(ContentTypeName.from(contentType1Name));" is 123.,113
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,given_superType_that_is_final_when_handle_then_InvalidContentTypeException,Long Statement,The length of the statement "final ContentTypeEditor editor=newSetContentTypeEditor().displayName("Changed").setAbstract(false).superType(ContentTypeName.shortcut()).build();" is 145.,113
xp,com.enonic.wem.core.schema.content,UpdateContentTypeCommandTest,given_superType_that_is_final_when_handle_then_InvalidContentTypeException,Long Statement,The length of the statement "final ContentType.Builder ctb1=ContentType.newContentType().displayName(displayName1).name(contentType1Name).setBuiltIn().description(description1);" is 148.,113
