Commit,HWD,GS,ED,LDV,Total
17b78ee469f9ab4678c9aa823663f0cd4871b1fc,0,42,5,0,47
28aed01558b8c8b6e9a183e90fdd3e1406f57a67,3,393,189,13,598
cc91aac9c4fcde5e40b120251acbd3b45b9ff875,5,116,33,0,154
9ca6e88a52cae9b4a497ff99b2ff2513af443fd9,177,264,156,1996,2593
4c2e8b42f6cfef0fac6e45ef3df2cec3bb1cac2a,3,296,152,13,464
06d7d2be30ff580a17f5e7c6b989274835686d61,6,1194,767,52,2019
883c2239fb1e1966e816b74182c109b2b8f9be97,7,651,300,26,984
ad56164ee6740b3f282c26cc9092281460e60fce,0,42,5,0,47
ad65faf7fff693853cd0b659a5d9ae00ba73750c,4,132,78,3,217
1cd290053e98b507c9918504ab0e20a452aad046,5,747,418,28,1198
3d9e69accc7a50ffe5e739bbe365b5f3e2af9006,150,162,107,1629,2048
ad5af4cd2ddb3cc679b532cb11f9aa8036f0f089,6,438,194,18,656
0fe43c76555d70a6e7847988aab7017856963418,6,117,30,0,153
6e196f6e8995406992af8a388640457f85b31763,3,402,170,15,590
0652dda968c002012566fadd6a4e45c15a9d14d8,4,591,257,28,880
2580abec74f927c46046f7e79b46874eb597e387,182,269,166,2040,2657
9e6b42158180790c62027c53458864f9ba3305fc,6,842,527,33,1408
e1fabf37c3541ee374216eb8a31f9fd56f7cd90f,8,308,164,11,491
