Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadFile,Long Statement,The length of the statement "ArgumentCaptor<SetObjectAclRequest> setObjectAclRequestArgumentCaptor=ArgumentCaptor.forClass(SetObjectAclRequest.class);" is 121.,148
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadFile,Magic Number,The method contains a magic number: 10,148
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadFile,Magic Number,The method contains a magic number: 10,148
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadInputStream,Long Identifier,The length of the identifier putObjectRequestArgumentCaptor is 30.,190
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadInputStream,Long Statement,The length of the statement "Message<?> message=MessageBuilder.withPayload(payload).setHeader("s3Command"`S3MessageHandler.Command.UPLOAD.name()).setHeader("key"`"myStream").build();" is 153.,190
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadInputStream,Long Statement,The length of the statement "assertThatThrownBy(() -> this.s3SendChannel.send(message)).hasCauseExactlyInstanceOf(IllegalStateException.class).hasMessageContaining("Specify a 'keyExpression' for non-java.io.File payloads");" is 194.,190
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadInputStreamNoMarkSupported,Long Statement,The length of the statement "Message<?> message=MessageBuilder.withPayload(fileInputStream).setHeader("s3Command"`S3MessageHandler.Command.UPLOAD.name()).setHeader("key"`"myStream").build();" is 161.,226
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadInputStreamNoMarkSupported,Long Statement,The length of the statement "assertThatExceptionOfType(MessageHandlingException.class).isThrownBy(() -> this.s3SendChannel.send(message)).withCauseInstanceOf(IllegalStateException.class);" is 158.,226
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadByteArray,Long Identifier,The length of the identifier putObjectRequestArgumentCaptor is 30.,241
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testUploadByteArray,Long Statement,The length of the statement "Message<?> message=MessageBuilder.withPayload(payload).setHeader("s3Command"`S3MessageHandler.Command.UPLOAD.name()).setHeader("key"`"myStream").build();" is 153.,241
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testDownloadDirectory,Long Statement,The length of the statement "Message<?> message=MessageBuilder.withPayload(directoryForDownload).setHeader("s3Command"`S3MessageHandler.Command.DOWNLOAD).build();" is 133.,266
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testDownloadDirectory,Magic Number,The method contains a magic number: 2,266
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testDownloadDirectory,Magic Number,The method contains a magic number: 2,266
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testDownloadDirectory,Magic Number,The method contains a magic number: 2,266
spring-projects_spring-integration-aws,org.springframework.integration.aws.outbound,S3MessageHandlerTests,testCopy,Magic Number,The method contains a magic number: 10000,300
spring-projects_spring-integration-aws,org.springframework.integration.aws.lock,DynamoDbLockRegistry,DynamoDbLockRegistry,Long Identifier,The length of the field dynamoDBLockClientExplicitlySet is 31.,161
spring-projects_spring-integration-aws,org.springframework.integration.aws.lock,DynamoDbLockRegistry,afterPropertiesSet,Long Identifier,The length of the field dynamoDBLockClientExplicitlySet is 31.,226
spring-projects_spring-integration-aws,org.springframework.integration.aws.lock,DynamoDbLockRegistry,afterPropertiesSet,Long Statement,The length of the statement "AmazonDynamoDBLockClientOptions dynamoDBLockClientOptions=AmazonDynamoDBLockClientOptions.builder(this.dynamoDB`this.tableName).withPartitionKeyName(this.partitionKey).withSortKeyName(this.sortKeyName).withHeartbeatPeriod(this.heartbeatPeriod).withLeaseDuration(this.leaseDuration).build();" is 290.,226
spring-projects_spring-integration-aws,org.springframework.integration.aws.lock,DynamoDbLockRegistry,afterPropertiesSet,Long Statement,The length of the statement "this.leaseDuration=(long)new DirectFieldAccessor(this.dynamoDBLockClient).getPropertyValue("leaseDurationInMilliseconds");" is 122.,226
spring-projects_spring-integration-aws,org.springframework.integration.aws.lock,DynamoDbLockRegistry,afterPropertiesSet,Magic Number,The method contains a magic number: 60,226
spring-projects_spring-integration-aws,org.springframework.integration.aws.lock,DynamoDbLockRegistry,afterPropertiesSet,Magic Number,The method contains a magic number: 1000,226
